Time,Temperature,Humidity
35362,22.22,40.429
35600,21.97,41.603
35838,22.06,35.042
36079,21.96,38.039
36320,22.06,35.083
36561,21.97,41.603
36803,22.22,40.429
37045,22.08,50.432
37290,21.95,38.039
37535,22.22,40.429
37781,22.06,35.042
38027,21.96,41.603
38273,22.08,50.351
38522,22.07,50.351
38771,22.06,35.042
39021,21.95,38.039
39271,21.96,41.603
39521,22.22,40.429
39774,21.96,41.603
40027,22.21,40.429
40280,22.06,35.042
40534,21.96,38.039
40788,22.08,50.351
41045,22.06,35.042
41303,21.94,38.039
41561,21.96,41.603
41819,22.22,40.429
42077,22.07,50.392
42338,22.22,40.388
42599,21.95,38.039
42860,22.07,35.123
43121,22.06,50.351
43383,21.96,41.603
43648,21.96,41.603
43913,22.06,35.123
44179,22.07,50.351
44445,22.2,40.347
44711,21.95,38.039
44980,22.07,50.351
45249,22.21,40.226
45519,21.95,38.039
45789,22.06,35.163
46059,21.95,41.603
46332,21.95,41.603
46605,22.06,50.351
46878,22.06,35.204
47152,22.21,40.307
47426,21.95,38.039
47703,21.96,41.603
47980,22.21,40.388
48257,22.06,35.204
48535,22.08,50.392
48813,21.94,38.039
49094,21.95,38.039
49375,22.06,35.123
49656,22.06,50.392
49938,21.96,41.603
50220,22.2,40.388
50505,22.06,35.123
50790,21.96,41.603
51075,22.2,40.388
51360,21.95,38.039
51646,22.07,50.392
51936,22.06,50.392
52226,22.05,35.123
52516,21.95,41.603
52806,22.2,40.388
53096,21.94,38.039
53389,21.96,41.603
53682,22.2,40.388
53975,22.06,50.392
54269,21.94,38.08
54563,22.06,35.083
54860,22.05,35.042
55157,21.94,41.603
55454,22.2,40.388
55751,22.06,50.392
56049,21.94,38.039
56350,21.94,41.603
56651,21.94,38.039
56952,22.05,50.392
57254,22.2,40.388
57556,22.04,35.042
57861,22.2,40.388
58166,21.95,41.603
58471,21.94,38.039
58776,22.05,35.083
59081,22.07,50.432
59390,21.94,41.603
59699,22.18,40.388
60009,22.07,50.432
60319,21.94,38.039
60629,22.05,34.637
60942,21.94,41.603
61255,21.94,38.08
61569,22.06,34.556
61883,22.2,40.388
62197,22.07,50.392
62514,21.94,38.039
62831,22.06,50.392
63148,22.04,34.718
63465,21.95,41.603
63783,22.19,40.388
64104,21.94,38.039
64425,22.2,40.429
64746,21.95,41.603
65068,22.05,50.351
65390,22.06,34.799
65715,22.05,50.351
66040,21.94,37.917
66365,22.05,34.88
66691,21.96,41.644
67017,22.19,40.429
67346,21.94,37.958
67675,22.06,50.392
68005,22.05,34.88
68335,21.95,41.684
68665,22.19,40.388
68998,21.95,41.684
69332,22.2,40.347
69666,21.94,37.877
70000,22.06,50.392
70334,22.04,34.961
70671,22.06,34.961
71008,21.95,41.644
71345,22.06,50.351
71682,21.94,37.917
72019,22.18,40.347
72360,21.94,37.917
72701,22.06,34.961
73042,22.05,50.351
73384,21.95,41.644
73726,22.18,40.347
74071,22.04,34.961
74416,22.18,40.388
74761,21.94,37.877
75106,21.95,41.644
75451,22.06,50.392
75800,22.05,50.392
76149,21.94,37.837
76498,21.94,41.603
76848,22.18,40.429
77198,22.05,34.961
77551,21.94,41.603
77904,21.95,37.837
78258,22.05,35.002
78612,22.18,40.429
78966,22.04,50.392
79323,22.18,40.469
79680,22.05,35.042
80037,22.06,50.392
80394,21.95,37.837
80751,21.96,41.644
81113,21.95,37.877
81475,21.95,41.603
81837,22.06,35.042
82199,22.06,50.351
82561,22.18,40.469
82926,22.18,40.469
83291,22.06,50.351
83656,21.95,41.684
84022,21.95,37.877
84388,22.06,35.042
84757,21.95,37.837
85126,21.95,41.684
85495,22.04,35.123
85865,22.06,50.351
86235,22.18,40.469
86608,22.18,40.429
86981,22.04,35.083
87354,21.95,37.796
87728,22.06,50.351
88102,21.96,41.684
88479,22.07,50.351
88856,21.96,37.796
89234,21.95,41.684
89612,22.04,35.204
89990,22.18,40.429
90371,21.96,37.796
90752,22.06,50.351
91134,21.95,41.684
91516,22.04,35.204
91898,22.18,40.429
92283,21.95,41.684
92668,22.05,50.392
93053,22.18,40.429
93438,21.96,37.796
93824,22.04,35.204
94213,21.98,37.796
94602,22.04,35.245
94991,22.06,50.432
95381,21.95,41.684
95771,22.18,40.469
96164,22.17,40.469
96557,21.96,41.684
96951,22.03,35.204
97345,21.96,37.796
97739,22.06,50.432
98136,22.18,40.51
98533,22.04,35.204
98930,21.96,37.796
99328,21.96,41.644
99726,22.06,50.432
100127,22.04,35.204
100528,22.05,50.432
100930,21.97,37.796
101332,21.95,41.684
101734,22.18,40.51
102139,22.04,35.204
102544,21.95,41.644
102949,21.97,37.877
103354,22.17,40.51
103763,22.06,50.432
104172,22.05,35.204
104582,21.96,37.837
104992,21.94,41.765
105402,22.17,40.55
105812,22.05,50.432
106225,21.96,37.837
106638,22.05,35.163
107052,21.96,41.724
107466,22.05,50.432
107880,22.18,40.51
108297,21.96,41.684
108715,22.17,40.51
109133,22.04,35.163
109551,21.96,37.837
109969,22.06,50.472
110390,21.96,37.837
110811,22.18,40.55
111232,22.06,50.472
111654,21.94,41.684
112076,22.04,35.123
112501,21.97,37.877
112927,22.05,50.472
113353,22.04,35.123
113779,21.95,41.684
114205,22.16,40.55
114634,21.96,37.877
115063,22.05,50.472
115493,22.04,35.163
115923,21.96,41.684
116353,22.17,40.55
116786,22.18,40.55
117220,22.06,50.472
117654,21.96,37.877
118088,21.95,41.684
118522,22.05,35.204
118959,22.04,35.204
119396,22.05,50.472
119833,22.16,40.55
120271,21.94,41.684
120709,21.96,37.877
121150,21.96,37.877
121591,22.06,50.472
122032,21.96,41.684
122474,22.18,40.55
122916,22.04,35.204
123361,22.05,35.204
123806,22.16,40.55
124251,22.06,50.472
124697,21.96,41.684
125143,21.96,37.837
125592,21.94,41.684
126042,22.06,50.472
126492,21.97,37.877
126942,22.03,35.204
127392,22.16,40.55
127845,22.16,40.55
128298,21.94,41.684
128751,22.06,50.432
129205,22.03,35.204
129659,21.97,37.877
130116,21.94,41.765
130573,22.05,50.472
131030,22.02,35.204
131488,21.97,37.837
131946,22.16,40.55
132407,21.94,41.724
132868,22.16,40.55
133329,21.97,37.796
133790,22.03,35.204
134252,22.05,50.472
134717,22.04,50.432
135182,22.02,35.204
135647,22.16,40.55
136113,21.95,41.724
136579,21.97,37.837
137048,22.16,40.55
137518,21.96,37.877
137988,22.02,35.204
138458,22.05,50.472
138928,21.94,41.684
139401,21.97,37.837
139875,22.02,35.204
140349,22.05,50.432
140823,22.16,40.55
141297,21.94,41.724
141774,22.04,50.432
142251,21.96,37.796
142728,22.03,35.204
143206,22.17,40.55
143684,21.93,41.724
144165,21.94,41.684
144646,22.04,50.432
145128,21.96,37.837
145610,22.04,35.204
146092,22.16,40.55
146577,21.94,41.684
147062,22.02,35.204
147547,22.04,50.513
148033,21.96,37.877
148519,22.16,40.59
149008,21.94,41.684
149497,22.16,40.59
149987,22.04,50.513
150477,22.03,35.163
150967,21.96,37.877
151460,21.95,41.684
151953,22.04,50.513
152446,21.96,37.877
152940,22.03,35.163
153434,22.16,40.59
153931,21.94,37.877
154429,22.02,35.204
154927,21.94,41.765
155425,22.17,40.59
155923,22.03,50.513
156424,21.94,41.724
156925,21.95,37.877
157427,22.05,50.513
157929,22.16,40.631
158431,22.02,35.204
158936,21.94,41.724
159441,21.96,37.877
159947,22.01,35.204
160453,22.16,40.631
160959,22.04,50.513
161468,21.93,41.724
161977,21.95,37.877
162487,22.04,50.513
162997,22.02,35.285
163507,22.15,40.631
164020,21.94,41.684
164533,22.02,35.285
165047,22.04,50.513
165561,21.94,37.877
166075,22.15,40.631
166592,21.94,41.684
167109,22.02,35.285
167626,21.94,37.877
168144,22.16,40.631
168662,22.04,50.472
169183,21.94,41.684
169704,22.05,50.392
170226,22.02,35.325
170748,21.94,37.917
171270,22.15,40.631
171795,22.05,50.432
