Time,Temperature,Humidity
43052,20.71,45.288
43345,20.73,41.36
43640,21.12,43.628
43937,21.14,42.413
44234,20.7,45.329
44531,20.74,41.36
44830,21.11,43.628
45130,20.71,45.288
45431,20.74,41.36
45732,21.14,42.413
46035,21.11,43.628
46339,21.15,42.413
46644,20.74,41.36
46949,20.71,45.288
47256,21.1,43.628
47564,20.72,45.288
47872,21.14,42.413
48181,20.73,41.36
48492,21.12,43.628
48805,20.74,41.36
49118,21.15,42.373
49431,20.71,45.288
49746,21.12,43.628
50062,21.13,42.413
50379,20.74,41.441
50696,20.72,45.288
51016,21.11,43.587
51337,21.15,42.373
51658,20.71,45.288
51979,20.73,41.36
52303,21.1,43.628
52628,20.71,45.288
52953,21.14,42.413
53279,20.74,41.36
53606,21.1,43.628
53935,20.74,41.36
54264,20.7,45.288
54594,21.15,42.413
54925,21.12,43.628
55258,21.14,42.413
55591,20.72,41.36
55924,20.71,45.248
56259,21.11,43.628
56595,20.73,41.36
56931,20.71,45.248
57268,21.15,42.453
57608,21.1,43.628
57948,21.15,42.453
58289,20.73,41.319
58630,20.71,45.248
58973,21.12,43.628
59318,21.14,42.413
59663,20.71,45.248
60008,20.74,41.319
60355,21.11,43.628
60703,21.14,42.413
61052,20.73,41.279
61401,20.71,45.248
61753,21.12,43.587
62105,20.74,41.319
62458,20.7,45.248
62811,21.14,42.332
63166,21.11,43.587
63522,20.7,45.248
63879,21.15,42.332
64236,20.74,41.319
64595,21.11,43.587
64956,20.74,41.36
65317,21.14,42.413
65678,20.71,45.248
66041,21.11,43.587
66405,21.14,42.413
66769,20.74,41.36
67133,20.71,45.248
67500,21.11,43.587
67868,20.74,41.36
68237,20.72,45.248
68606,21.14,42.413
68977,21.12,43.587
69350,21.14,42.453
69723,20.73,41.36
70096,20.72,45.248
70471,21.12,43.587
70847,20.73,41.36
71224,21.14,42.453
71601,20.71,45.248
71981,21.11,43.628
72362,21.14,42.453
72743,20.73,41.36
73124,20.72,45.248
73507,21.12,43.587
73891,20.74,41.36
74275,21.14,42.494
74660,20.72,45.248
75047,21.11,43.587
75436,21.14,42.494
75825,20.72,45.248
76214,20.72,41.36
76605,21.11,43.547
76997,21.14,42.413
77390,20.73,41.36
77784,20.71,45.248
78179,21.11,43.547
78575,20.74,41.36
78971,21.15,42.373
79368,20.72,45.248
79767,21.1,43.547
80168,20.72,45.248
80569,21.14,42.332
80970,20.74,41.36
81373,21.11,43.547
81777,20.72,45.248
82182,21.14,42.373
82587,20.74,41.36
82994,21.12,43.547
83402,21.15,42.373
83810,20.74,41.36
84219,20.72,45.248
84630,21.11,43.547
85042,21.14,42.332
85455,20.72,45.248
85868,20.74,41.401
86283,21.12,43.547
86699,21.14,42.413
87116,20.74,41.36
87533,20.72,45.248
87952,21.12,43.547
88372,20.74,41.36
88793,21.14,42.332
89214,20.73,45.248
89638,21.11,43.547
90062,20.72,45.248
90487,21.14,42.332
90912,20.74,41.36
91339,21.12,43.547
91767,20.72,45.248
92196,20.74,41.36
92625,21.14,42.332
93056,21.12,43.547
93489,20.73,45.248
93922,21.14,42.332
94355,20.74,41.319
94790,21.12,43.547
95227,20.72,45.248
95664,20.75,41.36
96101,21.14,42.332
96540,21.11,43.547
96981,20.72,45.248
97422,20.74,41.36
97863,21.14,42.413
98306,21.11,43.547
98751,20.72,45.248
99196,21.14,42.413
99641,20.74,41.319
100088,21.12,43.547
100536,21.15,42.413
100985,20.72,45.248
101434,20.74,41.319
101885,21.12,43.547
102337,21.14,42.413
102790,20.74,41.36
103243,20.71,45.248
103698,21.11,43.547
104155,20.74,41.36
104612,20.72,45.248
105070,21.13,42.413
105529,21.1,43.547
105989,20.72,45.248
106450,20.75,41.36
106912,21.14,42.332
107375,21.12,43.547
107839,21.14,42.332
108304,20.74,41.36
